V_in, V_p, err_p, V_s, err_s

0.0, 0.3e-03, 0.1e-03, 0.8e-03, 0.1e-03
0.1, 0.9e-03, 0.1e-03, 1.7e-03, 0.1e-03
0.2, 2.0e-03, 0.1e-03, 3.4e-03, 0.1e-03
0.3, 3.6e-03, 0.1e-03, 5.8e-03, 0.1e-03
0.4, 5.5e-03, 0.1e-03, 8.8e-03, 0.1e-03
0.5, 7.2e-03, 0.1e-03, 11.5e-03, 0.1e-03
0.6, 10.0e-03, 0.1e-03, 16.3e-03, 0.1e-03
0.7, 12.0e-03, 0.1e-03, 20.5e-03, 0.1e-03  
0.8, 13.7e-03, 0.1e-03, 24.8e-03, 0.1e-03
0.9, 15.0e-03, 0.1e-03, 29.6e-03, 0.1e-03 
1.0, 16.0e-03, 0.1e-03, 34.3e-03, 0.1e-03 
1.05, 16.3e-03, 0.1e-03, 37.0e-03, 0.1e-03
1.1, 16.6e-03, 0.1e-03, 39.5e-03, 0.1e-03 
1.15, 16.7e-03, 0.1e-03, 42.2e-03, 0.1e-03
1.18, 16.8e-03, 0.1e-03, 43.7e-03, 0.1e-03
1.20, 16.9e-03, 0.1e-03, 44.8e-03, 0.1e-03 
1.21, 16.9e-03, 0.1e-03, 45.3e-03, 0.1e-03
1.22, 16.9e-03, 0.1e-03, 45.8e-03, 0.1e-03
1.23, 16.9e-03, 0.1e-03, 46.3e-03, 0.1e-03
1.24, 16.9e-03, 0.1e-03, 46.7e-03, 0.1e-03
1.25, 16.9e-03, 0.1e-03, 47.1e-03, 0.1e-03
1.26, 16.9e-03, 0.1e-03, 47.7e-03, 0.1e-03
1.27, 16.9e-03, 0.1e-03, 48.1e-03, 0.1e-03
1.28, 16.9e-03, 0.1e-03, 48.6e-03, 0.1e-03
1.29, 16.9e-03, 0.1e-03, 49.0e-03, 0.1e-03
1.30, 16.9e-03, 0.1e-03, 49.7e-03, 0.1e-03
1.31, 16.9e-03, 0.1e-03, 50.1e-03, 0.1e-03
1.32, 16.9e-03, 0.1e-03, 50.6e-03, 0.1e-03
1.33, 16.9e-03, 0.1e-03, 51.7e-03, 0.1e-03
1.34, 16.9e-03, 0.1e-03, 52.4e-03, 0.1e-03
1.35, 16.8e-03, 0.1e-03, 52.9e-03, 0.1e-03
1.36, 16.8e-03, 0.1e-03, 53.3e-03, 0.1e-03
1.37, 16.8e-03, 0.1e-03, 53.9e-03, 0.1e-03
1.38, 16.8e-03, 0.1e-03, 54.4e-03, 0.1e-03
1.39, 16.8e-03, 0.1e-03, 55.0e-03, 0.1e-03
1.40, 16.8e-03, 0.1e-03, 55.6e-03, 0.1e-03
1.45, 16.6e-03, 0.1e-03, 58.4e-03, 0.1e-03
1.50, 16.5e-03, 0.1e-03, 61.3e-03, 0.1e-03 
1.55, 16.3e-03, 0.1e-03, 64.1e-03, 0.1e-03
1.6, 16.1e-03, 0.1e-03, 66.7e-03, 0.1e-03
1.7, 15.7e-03, 0.1e-03, 72.6e-03, 0.1e-03  
1.8, 15.2e-03, 0.1e-03, 78.4e-03, 0.1e-03 
1.9, 14.7e-03, 0.1e-03, 84.3e-03, 0.1e-03 
2.0, 14.3e-03, 0.1e-03, 90.6e-03, 0.1e-03
2.5, 12.2e-03, 0.1e-03, 121.7e-03, 0.1e-03 
3.0, 10.8e-03, 0.1e-03, 153.6e-03, 0.1e-03
3.5, 10.0e-03, 0.1e-03, 186.0e-03, 0.1e-03
4.0, 9.6e-03, 0.1e-03, 218e-03, 1e-03
4.5, 9.4e-03, 0.1e-03, 247e-03, 1e-03
5.0, 9.3e-03, 0.1e-03, 284e-03, 1e-03
