V, V_p*e-03, V_s*e-03

0.00, 4.1, 2.0
0.10, 5.6, 3.7 
0.20, 6.8, 6.2 
0.30, 8.4, 9.2 
0.40, 10.2, 12.7
0.50, 12.0, 16.4 
0.60, 14.7, 22.1 
0.70, 17.0, 26.7 
0.80, 19.2, 31.4 
0.90, 21.5, 36.4 
1.00, 23.7, 41.3 
1.10, 26.0, 46.5 
1.15, 27.1, 49.1
1.20, 28.3, 51.9 
1.25, 29.4, 54.7 
1.26, 29.7, 55.2 
1.27, 29.9, 55.7 
1.28, 30.1, 56.2 
1.29, 30.3, 56.7 
1.30, 30.6, 57.3
1.31, 30.8, 57.8 
1.32, 31.0, 58.3
1.33, 31.3, 58.8 
1.34, 31.5, 59.4 
1.35, 31.7, 60.0 
1.36, 32.0, 60.5
1.37, 32.2, 61.1 
1.38, 32.4, 61.6 
1.39, 32.7, 62.2 
1.40, 32.9, 62.8
1.45, 34.1, 65.7 
1.50, 35.3, 68.5 
1.55, 36.5, 71.5 
1.60, 37.6, 74.3 
1.70, 40.0, 80.5 
1.80, 42.5, 86.6
1.90, 44.9, 92.7 
2.00, 47.4, 99.4
2.50, 60.2, 132.3 
3.00, 73.9, 166.8 
3.50, 89.0, 202 
4.00, 105.1, 239
4.50, 122.3, 279
5.00, 139.8, 320 
